Week,crew,polo,mandarin,vneck,henley
2021-02-28,55,30,1,36,1
2021-03-07,47,19,3,40,1
2021-03-14,60,28,5,41,2
2021-03-21,61,31,2,48,3
2021-03-28,45,27,4,42,4
2021-04-04,39,18,2,40,1
2021-04-11,39,17,1,35,2
2021-04-18,37,18,2,34,0
2021-04-25,41,18,4,29,2
2021-05-02,48,20,1,24,3
2021-05-09,50,17,1,21,0
2021-05-16,46,22,3,38,3
2021-05-23,56,20,3,29,3
2021-05-30,63,14,2,31,1
2021-06-06,62,23,4,46,3
2021-06-13,61,24,1,34,3
2021-06-20,57,28,1,45,4
2021-06-27,47,32,3,42,4
2021-07-04,54,23,2,39,2
2021-07-11,58,36,1,45,1
2021-07-18,59,25,4,40,0
2021-07-25,53,36,2,49,5
2021-08-01,65,30,4,39,0
2021-08-08,55,29,4,36,1
2021-08-15,60,34,2,39,2
2021-08-22,62,30,4,32,3
2021-08-29,53,30,1,32,0
2021-09-05,66,31,5,37,0
2021-09-12,47,28,3,32,4
2021-09-19,54,20,5,41,5
2021-09-26,68,25,4,35,2
2021-10-03,53,38,4,38,1
2021-10-10,56,37,1,48,0
2021-10-17,54,34,2,45,1
2021-10-24,44,45,2,28,1
2021-10-31,46,50,3,24,1
2021-11-07,52,62,2,37,1
2021-11-14,67,59,3,35,2
2021-11-21,49,57,4,40,1
2021-11-28,64,61,6,38,2
2021-12-05,50,60,5,40,2
2021-12-12,57,60,7,36,2
2021-12-19,54,100,9,27,4
2021-12-26,52,61,3,32,2
2022-01-02,48,61,2,31,1
2022-01-09,43,62,1,36,2
2022-01-16,48,48,4,31,1
2022-01-23,43,40,0,36,2
2022-01-30,36,49,3,42,3
2022-02-06,47,49,0,31,1
2022-02-13,65,39,5,29,0
2022-02-20,0,0,0,0,0
